id,year,DPCdummy,doctor,nurse,general_beds,allowance_doctor,ave_serve_doctor,use_rates_general,ave_stays_general,ave_inpatient_per1day,ave_outpatient_per1day,inpatients_per1doctor,outpatients_per1nurse,medical_fee_per1inpatient,medical_fee_per1outpatient,inspections_per100patients,fixed_assets_per1bed,medical_revenue,non_medical_revenue,medical_cost_per1day1man,areas_facility,MrozDPC
500,25,1,106,504,558,801217,8,90.2,12.5,503,1576,2.9,1.8,63786,16755,959.9,18347,18925654,668615,23621.12053,43704,5.63360600063139e-06
501,25,0,32,153,392,693895,21,38.1,14.6,150,453,4,1.6,42072,9139,402.5,3351,3557683,674000,20453.45873,18895,0.405073879735733
502,25,0,23,122,201,1031383,20,58.3,13.6,117,408,4.4,1.7,40013,13355,466.1,19961,3580571,436998,20003.27202,24006,1.22421739979385
507,25,1,95,514,651,773578,20,85.6,12,584,1636,3.3,1.8,55650,17166,649.3,28008,19452115,685417,23341.3711,65693,8.70157556065002e-06
508,25,1,140,509,566,667421,8,73.5,10.9,416,1625,2.8,2,72424,14903,682.8,26196,17446855,598507,23101.22623,48144,8.24803775187545e-06
509,25,1,35,171,285,965251,17,71.3,13.6,193,516,4.6,1.4,44162,11283,522.2,6660,4935560,682403,21538.07214,19843,0.371646938575973
510,25,1,46,256,326,742888,8,84.3,14.7,275,638,5.7,1.2,49492,16312,610.4,20109,7707099,592690,22995.21973,23848,0.142655035155668
512,25,0,15,118,199,1325646,21,80.6,17.4,208,456,14.3,1.5,31077,13791,483.3,13175,4148514,126858,18237.89817,19705,0.97813807483459
513,25,0,7,47,100,895089,20,54.6,18.2,55,171,7.8,1.6,31342,15308,316.8,23674,1354112,239862,19147.01176,6980,2.42330655832081
514,25,0,15,95,241,1088702,22,40.5,16.2,98,229,6.4,1.1,39151,15175,545.7,10290,2597133,773378,27990.82569,15528,1.36689168544629
515,25,0,3,10,30,1383944,21,70.6,27.3,21,69,6.6,2.4,17452,6310,39.1,11645,295943,159878,14520.21309,2087,2.96754161016671
516,25,0,2,13,20,1237042,6,100.3,16.4,48,124,11.5,1.9,21502,4854,233.8,18882,584908,72525,10105.76617,3964,1.9539326253237
517,25,0,1,18,33,1429667,35,56.3,15.8,30,141,4.5,2.4,21826,6780,78.4,4325,606501,156982,12368.46912,2776,3.21205947654864
518,25,1,20,134,234,1061840,12,64.6,19.3,180,362,6.8,1.2,30543,10031,427.9,16041,3113230,832111,18085.76556,20557,1.06677140210203
519,25,1,75,456,488,757949,20,82.4,10.8,402,964,3.3,1.3,50336,10784,551.2,21366,10523481,1282372,22948.7575,51928,0.0247142205998344
520,25,0,15,103,159,681184,24,69.3,22.2,146,346,6.4,1.6,25981,11781,274.3,25115,2706715,226345,15735.43824,15260,1.85698905862937
521,25,0,4,25,50,1154042,12,44.8,17,22,122,4.8,2.4,24177,12376,114.8,16767,639083,111235,15126.90259,3244,3.1034540951316
522,25,0,4,34,120,900604,26,30.9,16.4,37,178,4.2,2.1,27895,17397,657.9,15755,1235231,239283,19144.00765,5969,2.7059248152411
523,25,1,59,295,409,709359,14,76.4,14.1,313,968,4.4,1.7,44964,10461,371.2,34066,8081101,921227,18734.4412,34343,0.0730004545369774
524,25,1,54,255,340,817051,6,86.7,15,296,936,5.4,2.5,51767,11065,594,29373,8761826,631731,18980.94423,28564,0.0378824493552474
528,25,0,14,73,100,950205,19,75.5,15,76,283,5.5,2.6,37815,8812,208.3,25208,1905301,372192,16640.99668,9947,1.72122400337751
529,25,0,11,103,152,962929,21,79.4,18,164,429,15.1,2.8,28685,14458,320.7,13906,3582247,143862,16492.9936,11366,1.44360153781464
530,25,0,16,80,110,927805,14,81.4,12.4,146,332,6.9,1.5,24659,8520,466.1,12594,2257943,168935,14139.88651,9462,1.53776832418073
532,25,1,61,269,450,764027,17,74.2,15.1,336,889,5.1,2.1,48716,12540,408,19745,9096322,614582,19758.922,32838,0.0228763506980041
533,25,1,73,305,400,768380,18,79.4,13.4,318,1023,3.4,1.9,54459,14095,686.8,28501,10332529,1365363,22031.2341,30575,0.0228178360705684
534,25,1,98,542,599,762275,6,93.4,12.7,560,1258,3.3,1.5,55056,13497,688.1,25804,16306813,1271806,25140.21882,67544,8.1695650104857e-05
535,25,1,68,283,364,624238,24,87.9,12.2,320,916,3.2,1.8,52830,11087,577.1,25979,9137402,314600,21166.40289,38778,0.0460532407867331
536,25,1,72,278,431,763613,20,86.2,16.1,371,1006,4,1.8,49390,11104,570.2,10345,9930162,602869,20436.50382,29487,0.00625756583380051
537,25,1,49,193,230,722856,16,79.3,10.8,182,652,3.3,1.6,46604,10133,438.3,29844,5193948,520894,17661.38103,17425,0.508238907207511
538,25,0,40,169,249,795741,21,78.3,12.1,195,613,3.3,2.8,48200,10075,185.5,23804,5708488,670791,20042.34708,20693,0.494024623504831
539,25,1,43,238,327,726721,21,55.6,9.9,182,694,2.6,1.6,51248,9305,563.3,6247,5703492,457377,19715.11228,17390,0.304350890695689
540,25,1,77,296,380,864135,17,86.8,10.9,330,830,4.3,2.2,56412,15186,652.4,33143,10571311,882376,25219.12848,39160,0.0332483781604203
542,25,1,50,191,307,746512,17,62.3,15.9,191,546,3.1,1.5,49715,12253,602.2,11297,5449825,410968,28825.8248,21058,0.301293791976874
543,25,1,70,276,317,746314,19,95.9,10.3,304,795,4.8,2.6,53089,11187,562.4,27230,8531948,198926,20861.46808,29159,0.0756384739566392
544,25,1,100,389,573,725199,16,68.8,12.3,394,1212,3.3,1.8,52664,12957,177.8,19950,11826255,920817,22398.30089,38361,0.0013234790159061
546,25,1,43,115,257,686946,21,50.7,11.4,130,499,2.6,2.2,45490,10482,484.4,7925,3952770,661740,21483.80774,19102,0.633712309302512
547,25,1,28,143,199,678643,21,79.2,16.4,158,332,4.1,1.3,45983,11456,434.1,36785,4178705,346625,25905.90439,17016,0.961141326722704
548,25,1,75,272,414,625921,7,72.7,13,301,863,2.7,1.6,56315,11667,715.2,27176,9205314,614661,21617.21038,29295,0.0126200115975023
549,25,0,2,16,61,1180750,18,50.9,23.6,31,52,9.3,1.5,23754,17359,736.5,6609,567763,61657,20758.17792,3423,2.68325680576217
550,25,1,59,222,416,804305,17,65.7,14.2,273,843,4.2,1.9,54475,13081,454.1,18228,8578821,353502,21420.39083,23205,0.0318850437736386
551,25,1,52,243,320,1164441,19,89.8,14.6,287,601,0.5,0.1,49691,12172,632.2,34935,7476422,543590,22726.30507,23674,0.171388132054339
552,25,1,79,342,446,739309,17,71.8,12.2,320,954,3.9,1.8,49658,11875,456,16841,9308795,619498,21719.74366,30715,0.0328314072707969
554,25,1,32,181,290,974783,5,51.9,16.6,151,622,4.9,1.8,44183,13538,688.8,13997,4773623,345243,19199.0076,26685,0.446223926739738
555,25,1,24,164,250,862151,20,59.1,11.6,148,414,3.8,1.6,46193,9432,755.3,7956,3804284,661097,23331.79935,14540,0.665287129763
557,25,1,48,249,300,786764,7,83,11.3,249,656,4.1,1.8,57264,10264,532,24143,7467113,919777,23075.75872,22928,0.121569570966562
558,25,1,41,222,260,752012,17,84.4,15.7,219,572,3.5,1.5,45918,9271,720.9,14365,5305350,448259,20397.24642,18445,0.320743247326643
559,25,0,18,136,205,1128602,26,66.1,16.4,135,380,6.4,1.5,38546,11270,436,15364,3137432,171791,19086.62322,13497,1.21864856892787
560,25,0,5,36,110,998550,21,38.7,21.3,43,99,6.3,1.4,22591,6123,266.9,9672,582926,581105,15723.13332,5986,2.78735505980126
561,25,1,94,444,431,807010,13,92.7,13.7,440,973,3.4,1.3,51727,12783,499.4,25398,11919851,1150208,24233.70658,36885,0.0232959114887689
562,25,0,31,327,358,887618,23,81.2,23,338,587,8.2,1,38446,11983,416.2,31204,6727395,1506840,21942.85672,35498,0.528835950430923
563,25,0,3,23,50,880500,15,60.8,18.3,30,55,9.8,1.7,22437,16068,242.6,12624,486951,86113,18494.18211,2995,2.87876663297909
565,25,1,43,285,320,773872,14,77.1,14.8,247,885,4.5,1.8,45311,9999,452.5,11632,6639198,378619,15489.21777,23051,0.20474494750822
566,25,0,8,35,129,802689,12,25.7,13.7,33,237,2.4,2.7,28178,8475,497.8,6767,869675,1490262,22340.65956,8182,2.32621259412593
567,25,1,18,83,176,718776,22,67.3,18.3,118,398,5.1,2.3,34379,8989,286.9,30495,2493809,284754,16280.76351,16249,1.39643017713052
568,25,0,16,72,275,702823,19,39.6,21.7,109,392,6.3,2.9,33827,6788,138,10690,2238857,205224,14368.58885,15699,1.11930397148007
569,25,1,29,122,220,674983,16,61.1,11,134,265,4.2,1.3,41357,11066,441.9,17820,3050927,283784,22477.36464,12249,1.04543943057966
570,25,1,44,176,300,829149,18,72.1,14,216,616,4.2,1.9,47483,9977,529.6,29467,5663870,400646,19874.10103,23410,0.289451103674369
571,25,1,14,93,153,747527,20,56.5,15.3,86,297,4.4,1.6,39206,8089,395.8,14773,1986738,251998,17221.5816,14675,1.57000754683638
572,25,1,44,197,300,863625,14,87.4,17.3,262,566,5.5,1.6,43081,12387,516.6,26181,6180387,335959,20878.39984,21878,0.243021279178811
574,25,0,4,24,48,877292,16,36.2,18.8,34,108,5.8,2,19683,12247,50.1,6474,623360,147483,15033.10824,1838,3.45686325666095
575,25,0,9,54,90,835593,18,77.6,19.4,111,210,8.4,1.6,24152,13122,341.8,5485,1732100,186019,16333.11996,6502,1.96155701092903
576,25,0,13,126,100,874722,24,70.2,18,208,291,13.2,1.4,20365,8786,150,14342,2443361,566242,16036.74198,18818,2.48372170739675
577,25,1,43,219,300,781934,20,75.2,15.8,226,493,4.8,1.2,45809,11867,210.9,27665,5576363,495693,21887.90748,22708,0.54892688056541
578,25,1,39,172,300,671441,17,64,15.9,269,623,6.2,1.5,29484,9272,371.7,18419,4553781,670456,17613.01677,25126,0.634845810234704
579,25,1,57,277,340,747800,16,82.6,13.5,281,529,4.7,1.1,48336,12440,523.8,20363,7152043,747102,24276.15424,24324,0.21284900149088
580,25,0,10,35,60,891692,19,87,18.4,95,267,8.5,3.1,22473,12520,191.5,34421,1722689,233287,13934.30712,11582,2.23259094606751
581,25,0,9,48,52,691213,18,94.5,17.9,94,205,8.8,1.3,20892,8233,203.4,45533,1285482,516189,12823.62212,12639,2.32075817829311
582,25,0,15,80,49,722100,23,86.4,22.3,172,285,9.7,1.4,20133,7673,86.9,19790,1965797,437739,13632.25922,15798,2.41179394109923
583,25,0,7,42,99,662833,18,71.1,28.8,70,166,7.9,1.6,29644,9437,314.4,21212,1392110,212060,17199.30346,8247,1.99203371019224
584,25,1,70,337,416,760237,22,83.9,15.3,385,838,4,1.4,42648,10614,460.8,29119,8830009,1135125,21852.93294,35869,0.0935138131135834
585,25,0,16,96,147,709282,22,78,16.1,157,296,9.8,2,27291,8489,660.4,24672,2480568,275645,17738.00236,15035,1.48271780957768
586,25,0,17,155,280,1000077,26,49.6,17,178,381,8.5,1.2,32112,8549,340.3,7459,3198390,309407,18992.05528,13142,1.20765187424599
587,25,1,15,109,151,738446,29,72.4,19.4,149,290,9,1.3,28348,9938,496.5,13076,2505139,337214,18084.43848,12374,1.70073777097933
588,25,0,6,30,48,842000,11,46.1,12.4,22,172,2.5,3.1,32359,6550,295,40846,621025,260493,12703.6718,3595,2.8018018452411
589,25,0,8,47,98,1039691,19,68.5,13,67,202,6.7,2,28655,7808,308.7,23867,1223943,323398,15145.85731,8178,2.07555692349624
590,25,0,16,86,91,1097203,15,77.2,13,88,453,4.9,2.4,35385,8547,91.6,27673,2257372,415551,18518.40073,9500,1.69672200615922
592,25,0,15,69,165,824127,4,68.6,16.2,141,396,8.4,3.3,28707,6152,173.8,6144,2227802,127158,11054.38637,12112,1.14664356777597
593,25,0,14,78,199,759330,9,54.9,17.5,109,279,6.7,1.6,27896,8001,334.1,4562,1835392,231089,16139.54244,10895,1.35694275290063
594,25,0,11,78,160,618848,23,56.5,21,107,231,7.5,1.9,28590,7802,296.3,6833,1769206,296006,15417.68663,11571,1.85888679806973
595,25,0,10,92,120,784992,29,85.3,16.1,126,333,12.6,1.7,30319,7564,521.1,16492,2178946,370532,14735.85818,12444,1.52171809832299
596,25,0,7,47,54,344214,22,84.7,14.7,80,178,8.6,1.9,20449,6639,360.2,27837,1018192,188958,13330.38123,8307,2.36545339380986
597,25,0,6,49,90,753877,24,75.3,18.1,68,185,7.2,2.3,30608,8870,493.3,36806,1338391,483326,15950.57664,7566,2.07367653289201
598,25,0,4,30,40,897542,10,78.5,14.6,66,226,11.1,2.9,24774,9550,195.5,16619,1205096,73038,10844.91462,6545,2.21767983999176
599,25,0,5,30,50,935373,28,93.2,18.7,47,343,5.1,4.6,33895,11438,160.5,32641,1812023,72559,12716.48753,5550,1.91393468234074
600,25,0,6,43,50,928181,7,84.4,16,88,146,12.6,2.2,21694,11280,221.1,25554,1288523,220336,16287.12095,9830,2.27497976850987
601,25,0,4,26,40,918646,5,84.4,18.2,70,120,13.3,1.7,19586,6050,70.5,26061,803223,186999,11773.46792,6642,2.37071538918083
602,25,0,5,51,57,1450459,24,94,16.2,96,219,9.9,2,26069,6283,334.1,18844,1366879,199925,12975.29028,7875,1.92666895278599
603,25,0,7,43,48,931143,23,75.7,18.2,65,251,8.9,3.5,20934,9239,119.9,18589,1252846,61654,10904.63846,5062,2.59662529771097
604,25,0,5,16,49,893413,21,96,36.2,47,145,7.6,4.5,19136,5686,30.6,17469,625572,78964,9331.763699,2909,2.21005453827504
605,25,1,47,301,330,819961,7,75.6,15,249,548,4.5,1.1,55884,11776,29.6,20023,7313864,316457,25076.98733,28438,0.308665335081073
606,25,1,20,139,162,939449,20,89.6,19.8,215,538,7.4,1.5,31739,9162,414.9,28589,5094641,1148850,18379.68673,20505,1.07327403804147
607,25,1,100,489,500,802205,17,82.9,11.8,415,850,3.3,1.1,69065,20951,938.7,36464,15617972,591999,32711.15058,49520,0.00535562322822847
609,25,1,65,258,350,708884,14,87.7,15.1,307,722,4.7,1.4,43990,14607,416.4,20722,7829463,287147,20061.1526,22790,0.120131080097093
610,25,0,5,23,54,758133,20,81.7,25.9,44,147,7.2,1.9,23164,10698,108.8,21929,868455,333336,17308.62799,4099,2.42484166117663
611,25,0,2,22,44,1010083,34,76.1,21.7,33,97,8.9,1.9,21669,11100,160.9,23109,592441,78342,15640.02107,3529,2.94007118850985
614,25,0,7,33,45,640447,15,79.4,14.8,58,146,7.1,2,23519,7374,238.5,19778,835444,192681,14003.49181,4519,2.33856958042828
615,25,1,16,88,100,899342,17,81.9,13.3,82,292,4.7,1.8,46297,8364,375.3,26974,2227181,402076,18267.05736,9722,1.3061226108067
616,25,0,5,11,58,926217,16,88.9,28.9,52,117,8.8,2.3,19069,12229,75.7,7448,780198,67526,13335.12199,2974,2.20688196567913
617,25,0,4,11,60,881854,9,67.5,30,40,113,10.1,2.3,20044,9893,239.3,4851,642925,81619,12124.64858,2968,2.36606595260648
618,25,1,16,139,210,847318,15,61.8,17.2,130,343,7.1,1.2,41313,12207,622.7,11221,3148370,153604,18113.91005,10744,1.00770645915519
619,25,0,9,88,40,858495,13,84.7,20.5,233,159,17.6,0.7,21096,5863,198.5,14406,2205416,130948,15379.57786,16464,2.36111347274284
620,25,0,6,83,96,1060417,26,75.1,29.3,119,201,12.7,1.3,24379,10344,278.7,22909,1724580,633353,16630.04281,8950,2.35614791449403
622,25,0,8,50,125,973208,24,70.5,65.8,89,188,8.3,1.6,20072,9551,164.5,42622,1195542,799927,20227.84234,10186,2.44737589782047
623,25,0,4,16,36,1116458,24,95.7,90.8,34,119,6.2,3.1,17074,7317,139,39995,491739,127701,11467.31131,4396,2.61780988611713
624,25,0,7,40,39,981452,19,82,23.3,74,168,8.7,1.7,19646,10992,284,46986,1118216,472012,16033.49938,10109,2.76699520956197
625,25,1,58,266,339,723549,21,75.4,11.7,255,469,3.5,0.9,61614,15443,487.6,37486,8224908,1207609,34208.1889,30240,0.238688775142717
626,25,0,4,26,60,881958,22,84.5,36.1,51,78,9.9,1.8,23102,8934,355.6,24831,688305,82835,17147.15939,5537,2.31072825133835
627,25,0,3,19,60,598833,21,56.9,25.1,34,107,7.9,2.3,23962,16211,200.5,11299,752677,50198,15639.48314,3495,2.87012714055975
628,25,0,3,17,40,876417,16,79.4,18.8,32,92,7.7,1.7,26557,5812,166.9,11525,469345,92772,12843.15068,3432,2.27268453940503
630,25,0,3,14,50,642611,29,38.8,26.7,19,99,4.6,3,20039,9550,16,3727,427386,83327,11992.7792,2894,3.51950701646688
631,25,0,4,23,45,831667,23,52.2,41.9,23,84,5.9,1.9,21274,4958,26.4,25371,299096,209087,13734.78428,3366,3.30038934842948
632,25,1,13,82,120,960403,7,79.3,13.1,95,309,7.2,2.5,37193,11105,307.1,34352,2314070,83122,15303.87224,12311,1.42173918458793
633,25,1,48,230,341,739567,19,59,13.2,213,439,4.2,1.4,45873,11058,527.2,10583,5569058,961903,26533.78435,30615,0.422243863268636
634,25,1,26,122,216,829132,16,63.3,13.7,137,394,3.9,2.2,46776,10003,393.4,3130,3699287,119234,18020.21515,7994,0.729569360143847
635,25,1,26,155,175,948542,23,72.7,13.2,127,505,3.9,1.8,42543,11118,135.3,29076,3727680,317630,18169.47286,14884,1.30513225706626
636,25,0,9,56,92,898074,20,67.9,35,128,215,12.4,1.3,18892,5670,159.5,3964,1387814,138330,11981.24526,8843,2.29961896706072
638,25,0,9,56,89,1073648,18,52.6,18.4,63,323,4.8,2.4,24925,6903,98.7,9496,1277986,111874,12573.15636,7235,2.43985448421607
639,25,0,15,79,145,1262978,5,62.1,14.7,120,371,6.6,2.1,29559,9680,361.2,12246,2372269,389722,14535.50763,12504,1.44717292906605
640,25,0,9,38,35,734140,20,89.6,14.1,57,189,6,3,25242,10990,227,24664,1257858,60591,13502.11605,6157,2.29093112163976
641,25,1,74,323,426,777280,17,98.7,12.4,421,1116,3.3,1.9,51452,11269,594.7,32215,11602867,606107,19423.91957,34197,0.00407045230195568
642,25,0,4,23,96,1177125,30,39,21.7,82,154,12.6,2,19782,6472,233,8327,890050,106992,11388.75087,8866,2.99428831789596
643,25,0,5,35,88,1426600,11,48,16.3,81,214,11.8,2.1,22645,8126,268.4,8219,1156715,81312,11809.3615,8395,2.46150650199892
645,25,0,11,119,154,891598,21,61.4,16.6,95,382,7.5,1.8,36908,17999,550.5,25088,3060461,198330,17922.25381,10813,1.70219819950882
646,25,0,9,55,90,1035562,19,87.8,21.8,97,140,11.1,1.1,28679,9300,101.4,4582,1404238,38208,17004.34657,5799,1.79473954718697
647,25,0,7,59,120,889536,7,77.8,20.6,93,250,9.7,2,29245,5405,28.1,10467,1406812,86637,11362.03523,6626,1.5433413001132
648,25,0,6,31,47,766385,18,87.2,21.3,68,155,10.6,2.1,20689,5095,206.9,8358,781247,88961,10433.15928,3667,2.16459640743872
650,25,1,19,126,150,845582,18,81.5,19.8,122,418,6.5,1.8,35948,9792,131,28593,2820234,69411,14244.03856,13146,1.40701021126281
